Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
ELECTRICAL ENGINEER III,Ut Electric Systems Eng Div,Utility Services,114297.29,125,cd6b75437d168dddfbf8a64f5bd3ddd59874b556
"DIRECTOR, PLANT OPERATIONS",Ut Water Production Div,Utility Services,114254.83,126,3973348669f4571b0836660be825af1323107a19
"SR MANAGER, FACILITIES & FLEET",Operation Services,Information & Employee Svcs,114244.53,127,b9c721f23d36bf023317ffa10b0db828b2b7f1e3
LINE CREW CHIEF,Electric Field Services,Utility Services,114231.25,128,a66e56787b8255c14c0366ec6e361e645dd9b46f
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,114143.13,129,7f24feb92b86442aa2795d1c8d25c90a2761c3d0
"MANAGER, SYSTEMS ADMIN",Ut Process & Supervis Cntr Div,Utility Services,114067.63,130,4ea1f09fc7c9be6de90e102e851176c32d8a0081
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,114059.02,131,62e78e3437b3247c4f8b5f64879e02f8823d4524
POLICE OFFICER,Patrol,Police Services,113902.46,132,f05649d9868a62482f2b72dde8d3b7ea60753f63
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,113783.37,133,1a6b297581278c74a8881cb2b505abab66bfaa28
FIREFIGHTR DRIVER/OP-56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,113712.87,134,a9634094069023fdab740fcba1d209bc671e162f
POLICE OFFICER,Patrol,Police Services,113673.29,135,fe6d6e9c3b6416cce97750730e9632ad177f916b
"SR MANAGER, ELEC ENGINEERING",Ut Smart Grid & System Ops Div,Utility Services,113315.00,136,950d3999bfe291eb739083ff1686bfcaeaa53bc6
"SR MANAGER, COMPENSATION",Human Resources,Information & Employee Svcs,113144.24,137,1af9674568e6ee765a47d7bccabcb30d7ae52b67
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,112957.42,138,3ee48378494cc6f9da15322b0373ee1b49c890e0
IT MANAGER,Poudre Fire Authority,Poudre Fire Authority,112949.67,139,9a740e8f42e3e85b7b11e8eea5b881331de962ff
LINE CREW CHIEF,Electric Field Services,Utility Services,112896.23,140,bab4bcf3e67673ea9990b85d795201d8125b4227
POLICE SERGEANT,Patrol,Police Services,112770.79,141,02b45bbdf0d2ce7d14460435cb6bbdcaa1ebcc2f
"DEPUTY DIR, COMMUNITY SERVICES",Natural Areas,Community Services,112681.72,142,47a6231ceb5e328a948f5c8bc6810abf79f2bf67
POLICE SERGEANT,Patrol,Police Services,112410.83,143,6a0db0a337d84843b00734f66a9ac39e78452da7
"DIR, ELECTRIC DISTRIBUTION",Electric Field Services,Utility Services,112248.24,144,e7f05b8ed7f578e5d60eacf4f0028e3228926fd0
FIREFIGHTER 40 HOUR (SPECIAL),Poudre Fire Authority,Poudre Fire Authority,112225.84,145,08b3e3350e911e142f7ab9fb7e100058e071b665
POLICE OFFICER,Investigations,Police Services,112049.94,146,ecaedfc784209bb435cb93be12370a99219c4fa1
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,112020.42,147,43dde2cd8c4b41cdcc0de461db3e55d286dc19f4
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,111832.04,148,9ad20efc99da489c29f247381a375f6f67cf62fa
SUBSTATION ELEC/COMM SPEC,Ut Elec System Design & IT Div,Utility Services,111711.58,149,3c4729e54601fd2c712ebe80548942f1acb3b8fc
CIVIL ENGINEER III,Engineering,"Planning, Dev & Transportation",111632.34,150,e3488bbc987ec42c5e235b4d798f4bb33fd02ab0
"DIRECTOR, PARK PLANNING",Park Planning & Development,Community Services,111564.58,151,c0403a812d2198171737962aa5b4b6850445223e
POLICE OFFICER,Investigations,Police Services,111493.21,152,b66706763fa58f94cdf899e16571f3726bed55bc
POLICE OFFICER,Investigations,Police Services,111481.65,153,6f173dee6a40134895cff3f677fc5c0c110bf87f
POLICE OFFICER,Patrol,Police Services,111218.31,154,97fb41029bb1a513e893fa03f52e3135148c117f
FIREFIGHTER 40 HOUR (SPECIAL),Poudre Fire Authority,Poudre Fire Authority,111155.07,155,c41b465701cd6ad2b56e367e28d665f4e867179b
"DIR, TRANSPORTATION OPERATIONS",Streets,"Planning, Dev & Transportation",111111.97,156,b2da2ee0ca89b0acc07146730c590c639c526baf
POLICE CORPORAL,Patrol,Police Services,110713.42,157,6c3b2153298ee92a5cbc9f2a70f7e95758a2ef38
"MANAGER, ELEC DISTR HI VOLTAGE",Electric Field Services,Utility Services,110517.58,158,162b5fc72c4c325716824f3120ffa8fb5c052708
POLICE OFFICER,Investigations,Police Services,110451.54,159,4b2a557f05edeab399ec37b5b6b32be737771f26
