Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
AQUA-FITNESS INSTRUCTOR,Recreation,Community Services,2802.28,2965,bc84cc9e2fe6002ffad5e5d45065c79a87399fbd
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,2790.00,2966,553f943bf579d4615d5b302a68bfe27dbc5f1166
INTERN,Natural Areas,Community Services,2788.50,2967,28848e24aec89b9076005784f6460de1316d791d
VICTIM ADVOCATE,Investigations,Police Services,2788.00,2968,b47c13b0ac8202ef65b4195aeaf6754401fdce9c
LCC TECHNICAL AIDE I,Cultural Services,Community Services,2774.55,2969,84d568c143a0719844ef54e1bb795f3569ce467d
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",2769.33,2970,1ef43af0e672666e263b11f0666a51cb3717e32b
PROGRAMS ADMINISTRATOR/DDA,Downtown Development Authority,Downtown Development Authority,2752.12,2971,4ac4d83dbb6474a1f402a4da6792a79c39532f3f
INTERN,Natural Areas,Community Services,2747.75,2972,8402303b7b1f7094702079340ba0cf06015a5d89
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",2735.25,2973,e48a19877b37261a7624f7305c20df64bdb8fb3c
ARTS / CRAFTS INSTR - SR CTR,Recreation,Community Services,2733.39,2974,a2845d6bbc681e30429632c25aa60465aaaffafb
SPECIALIZED INSTRUCTOR,Recreation,Community Services,2724.06,2975,0ae881f265765567db4cfd592ced19d999acec1a
FACILITY ATTENDANT,Recreation,Community Services,2719.72,2976,e43a9c961839e27ca03f3b8e76a3670f2ef96edc
LIFEGUARD,Recreation,Community Services,2713.97,2977,750faad7bf53466076f4800dcc2c6b4826eaab15
LIBRARY AIDE-COMP LAB MONITOR,Library District,Library District,2710.47,2978,e36a6e9bc2ab9d6880c743ecc09d56e232196206
LIFEGUARD,Recreation,Community Services,2707.66,2979,a1ad6a3a8c0dd2832f0c2148d9f398e26da8d000
LCC STAGE HAND,Cultural Services,Community Services,2701.23,2980,1a62c9e916ab2e2fc19f05a1074e86d2e933aa2d
SPECIALIZED INSTRUCTOR,Recreation,Community Services,2700.00,2981,1e09160e3ba2e3d396ea1b1333f3af8cdba62bb8
MUSEUM ASSISTANT,Cultural Services,Community Services,2697.11,2982,af3156ea0d0a1b6d2f1c7fefc46088fb7c55ac41
YOUTH INSTRUCTOR,Recreation,Community Services,2692.69,2983,bd00b9cf1f24db4d413fb8b6dfab301c04c312ca
LCC STAGE HAND,Cultural Services,Community Services,2689.02,2984,c636de09a132f2138dd038602cf0139f0e9a47f6
EQUIPMENT OPERATOR/ CEMETERY,Parks,Community Services,2683.78,2985,3289734b1f7232954b536a835509b29ea28d85f9
CLERICAL AIDE,Recreation,Community Services,2654.47,2986,0ca5bf6b259a21678a080d41efb8800c2dca1d95
LIFEGUARD,Recreation,Community Services,2645.20,2987,8f9d597d3a780f3c2875866eec6a4ffaf37549e2
PARKING AIDE/RANGER ASSISTANT,Natural Areas,Community Services,2621.00,2988,85cb38c8356962c240bf5f52c8b207b8b5253d03
YOUTH INSTRUCTOR,Recreation,Community Services,2615.03,2989,eca66e8cf71babed938fff3a59869f789a086eec
AQUATICS MANAGER,Recreation,Community Services,2606.22,2990,2da87fb64c3a9207d2935822096d7677733bc50d
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,2604.25,2991,fd3d2f56634ec90934218b246507ff04f9ab36b7
CIRCULATION AIDE,Library District,Library District,2584.04,2992,c3dc7b11073005c9a753625cdec35a7bdb18e228
UTILITY WORKER/ PARKS,Parks,Community Services,2573.61,2993,c10dbd2de661b9b81e4632d9e7445ec249237c0b
UTILITY WORKER/ PARKS,Parks,Community Services,2568.00,2994,a2b8331485ba88ade953effc07ac76221283fe69
LCC STAGE HAND,Cultural Services,Community Services,2563.88,2995,0b36b69566e650170cf935e2892e773431364699
BUSINESS ANALYST,Economic Health Office,Sustainability Services,2562.00,2996,97816c9cdca7a44771e8c3b712d1c0703ea3cdf9
PROGRAM ASSISTANT,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",2548.21,2997,d2e82dace99b15551c143cbf4dc703450cc08b08
LIFEGUARD,Recreation,Community Services,2547.50,2998,eead11db98a547a240895644fff4ac728ccc6a08
EQUIPMENT OPERATOR/ PARKS,Parks,Community Services,2542.50,2999,3f0355638246c68c1531ee5f614ffd464582f0fd
FACILITY ATTENDANT,Recreation,Community Services,2541.10,3000,7d05a58eea755d27e3db50b22885fc701c34ee9c
YOUTH INSTRUCTOR,Recreation,Community Services,2531.54,3001,f69df88c1a1553ecb9f30af9a3fa358ef38b4ee0
FACILITY ATTENDANT,Cultural Services,Community Services,2529.09,3002,f46081acb775aecd40ea8791fb195c0b643e1af5
INTERN,Environmental Services,Sustainability Services,2524.99,3003,55578f846353903e8ba65f08a07034b014fbe2c0
YOUTH INSTRUCTOR,Recreation,Community Services,2511.30,3004,515c00e1b86cba7a4e1d922a89bdcdaa9a3d0ad1
MUSEUM ASSISTANT,Cultural Services,Community Services,2507.10,3005,4396a82233832928517988af6dae9107da0e7ba0
YOUTH INSTRUCTOR,Recreation,Community Services,2505.37,3006,4745b5a76e1f631af2adb6c4c13a44d34853c316
SKATE GUARD,Recreation,Community Services,2497.29,3007,87cb07a9a26340422fabe0aa9ffdeae04b7c5277
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,2491.13,3008,9b638a7be8f8b5dd794e8a2312f71c53eb00ccff
LIBRARY AIDE-COMP LAB MONITOR,Library District,Library District,2486.56,3009,b5f8c9a088205bb2f653176e51bdcb9d9a9b8b53
YOUTH INSTRUCTOR,Recreation,Community Services,2485.53,3010,e5ee04e48cf82c6f8e0e44b54fed729e34bc6d4a
FACILITY CUSTODIAN,Cultural Services,Community Services,2474.04,3011,e1804fabb15f7c5e4dda22b667f7e9e25ffb31e1
CIRCULATION AIDE,Library District,Library District,2473.80,3012,a56a8a4b4c75e0322ff350b5f2af3c9553648e2d
LIFEGUARD,Recreation,Community Services,2450.05,3013,71e45450cd4f4739fe383223c40b6670b458b4e2
UTILITY WORKER/ PARKS,Parks,Community Services,2448.00,3014,5f840a186c949bd6dbad2cc3275972339def1777
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,2432.64,3015,51e89696e8505a22cfc71e9d51984734570aeaf7
CIRCULATION AIDE,Library District,Library District,2427.62,3016,378a2a334db7e387c45ae7512ae5cbeef7cfd861
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,2421.00,3017,8463af740fbbf3c7900f7d2ac714620e1782923a
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,2412.50,3018,c2900264bd0dbf7d28c32cb919e956eb33514d70
SPECIALIZED INSTRUCTOR,Recreation,Community Services,2388.39,3019,60bc998a7ad13ec63f9a5a6ac616cba22c90ded6
LIFEGUARD,Recreation,Community Services,2379.03,3020,490b19c22397d1a02134a6c5956fb91759ff9594
YOUTH INSTRUCTOR,Recreation,Community Services,2377.83,3021,ecc09a090ae36abdaa4181965c535863bb78959a
ALTERNATIVE PROGRAM LEADER,Recreation,Community Services,2367.48,3022,1dbef5ec85f269395f9b299ba0c1b0b860aa3462
EVENTS CONCIERGE,Cultural Services,Community Services,2365.25,3023,25189b3862d185af7a14ff39c35c41a33c5231bf
LIFEGUARD,Recreation,Community Services,2363.58,3024,c093e5193ccff15da10e8246a6bb8cab22cc31fd
LIFEGUARD,Recreation,Community Services,2346.65,3025,bfba72abb6fb9eb609bf6741206c1aee0e518d61
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,2336.25,3026,b3cdd5976c4ebfa7ea7c2f7f1ad68fd7e951f009
YOUTH INSTRUCTOR,Recreation,Community Services,2332.00,3027,96b4ed1eaca149db719d407f8b1c52e8062140be
PERSONAL TRAINER - 1 HOUR,Recreation,Community Services,2332.00,3028,caa9766931772d6d0872a2db87faf296888197d5
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,2317.50,3029,b69604aca452129066b5efb6caacd3252506c874
ARTS / CRAFTS INSTR - SR CTR,Recreation,Community Services,2304.77,3030,f772efa969fdd5281f9752a0a8ba9d038c0be108
LIFEGUARD,Recreation,Community Services,2294.29,3031,a72f5b2eaeb210d6f8ecfc0cd2a593ab0bd3e5c4
CIRCULATION AIDE,Library District,Library District,2286.64,3032,837f1354e22f5b9236580df194074e71bf00d32c
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,2284.00,3033,552688b742abcbbdbc7c4ebd1c8a5d3a8eec98db
LIFEGUARD,Recreation,Community Services,2281.61,3034,8f91d11361feec7741f0331cbd86048ec782cd72
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,2273.00,3035,58dea245f140f5239a6c763c432e3d7bb8cc546b
NATURAL AREAS-CREW MEMBER,Natural Areas,Community Services,2260.15,3036,60e84d379294661037afb3dd420ba383e364ce6d
LIFEGUARD,Recreation,Community Services,2250.75,3037,c7df34b34f91f87e225e4ee9d2be9aee15adde0f
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,2250.00,3038,75320bc23c4e3efc89a61ebb70e74e9da5f2d17b
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,2249.63,3039,a24e69c2c789b37d81335acaeb5ffc824586e4ad
POTTERY INSTRUCTOR,Recreation,Community Services,2244.85,3040,dcefc8cee2d2b6ec222c3f1ba59adcebcb951a91
"SR COORDINATOR, RECREATION",Recreation,Community Services,2243.19,3041,3e1d76027bf35e9321b4b894a265e62657701cf0
MUSEUM ASSISTANT,Cultural Services,Community Services,2228.79,3042,6578289acbc3d6d4b8df392292daf5c1ece6df76
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",2221.90,3043,840934728926be69816b02b20ebfdd9f218d00c9
CLERICAL AIDE,Human Resources,Information & Employee Svcs,2221.82,3044,5f85767c4dd78e10cd36a4f7f5ed1651c9bb8ab7
LIFEGUARD,Recreation,Community Services,2218.24,3045,be4f4118162a23d5d654fb7fca6e449fcb752719
ARTS / CRAFTS INSTR - SR CTR,Recreation,Community Services,2217.44,3046,98664e941f5c704c1e18ca25db3b5d32d7b68f1a
SWIM INSTRUCTOR,Recreation,Community Services,2213.59,3047,b65c14dad70f33a2fb311f80dca8fd8c85103dfa
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",2212.66,3048,c3984b443bddf1eca2490d6dd82e8d7dce545394
FACILITY ATTENDANT,Cultural Services,Community Services,2212.51,3049,9331a4b6a7ec30cb2214ef00b4da382d6165e35c
AQUATICS MANAGER,Recreation,Community Services,2207.81,3050,2bc6466179a15cd7376b3bec363591dbf2f32298
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,2198.35,3051,97223374fab2c3522b1136b3453834b4c52e9e34
INTERN,Social Sustainability,Sustainability Services,2175.00,3052,9dc350a68763385d01a3c744f39d8a583838e7e6
FIGURE AND FREESTYLE COACH,Recreation,Community Services,2174.48,3053,a240e04a9a9cb41ef77417bae462b0c4504f8248
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,2152.50,3054,a9d3238052f2451bddcfa909f0ec91b710a23acb
LIFEGUARD,Recreation,Community Services,2148.07,3055,46f67470c1d5fdaf95d0a6382f43b8d45a90884f
LIFEGUARD,Recreation,Community Services,2140.97,3056,2a0ad9ca3638a4728e7a822725d6a30a58cf250c
AQUATICS MANAGER,Recreation,Community Services,2139.47,3057,b513e70238b5ef82d2199b7d7196697ec1c8f5ca
YOUTH SPORTS OFFICIAL,Recreation,Community Services,2123.84,3058,e4e165411625d9f328a3b829718a232a89ca969f
PROJECT ANALYST,Utilities Customer Connections,Utility Services,2115.63,3059,34992f4dd93e564a9ec619611ed3838642b5d621
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,2112.74,3060,9c372e46daa3e40e4311eb221a3aeea5f8749c4c
SPECIALIZED INSTRUCTOR,Recreation,Community Services,2110.00,3061,bc21733fe87d232d0becc68d3b2cf1935c2612db
AQUA-FITNESS INSTRUCTOR,Recreation,Community Services,2101.23,3062,c90ab32e11b1d97448b356c9efa51bac3ca6dc24
SWIM INSTRUCTOR,Recreation,Community Services,2100.00,3063,3675b4b2c7fb33a65efa348374ce092ebcecfa91
YOUTH INSTRUCTOR,Recreation,Community Services,2090.64,3064,0802402f67de08a649f0689404a3eed633180e3f
UTILITY WORKER/ PARKS,Parks,Community Services,2086.50,3065,29120f702a130b7027fef1ba44b51dbc24e3d1b1
FINANCIAL ASSISTANT,Natural Areas,Community Services,2075.53,3066,a56db40168d3d47d21fa5e1b6e48b06bd5bff9a6
AQUATICS MANAGER,Recreation,Community Services,2071.76,3067,9d24d1a650d720ef01e9c17ee226073a9677c849
YOUTH INSTRUCTOR,Recreation,Community Services,2069.90,3068,2b043ebfaa79b3bc81ed69c3c27a26ab09be8e00
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,2064.00,3069,02e2cd79139893ecdf19a86c4a3f8b699b32efe8
"OPERATOR II, TRANSPORTATION OP",Streets,"Planning, Dev & Transportation",2045.00,3070,245e5084950ec5e9b02af253bda759ecb8bf8a85
UTILITY WORKER/ PARKS,Parks,Community Services,2040.00,3071,705d331d01eeda0ba982523169e98d731b391ade
LIFEGUARD,Recreation,Community Services,2038.45,3072,c8e99554a3e9a044f434d5404963178ae8632ccb
LIFEGUARD,Recreation,Community Services,2036.48,3073,8835ca71eaa8a68dfe4acacebb2dce39e03cbc19
UTILITY WORKER/ PARKS,Parks,Community Services,2031.25,3074,6ec36956f79aadfae4943fc789075d23064ef1ae
PROGRAM COORDINATOR,Recreation,Community Services,2030.85,3075,3f005f6ff2b94e64c4bb6b8d86891c56bf9b655d
FACILITY CUSTODIAN,Cultural Services,Community Services,2029.01,3076,3d0fb018352bfa9da1485afaa8f1772b9dd4a0f0
LCC TECHNICAL AIDE I,Cultural Services,Community Services,2027.91,3077,f539b585c4454da42f61d5d7fbe08de9ed8f9b51
AQUATICS MANAGER,Recreation,Community Services,2026.72,3078,d63260915f860c4f758aaad40e024511c034d245
PROJECT ANALYST,Utilities Customer Connections,Utility Services,2026.59,3079,944c9d38a9692553a3bc68918d085983d3dca461
YOUTH INSTRUCTOR,Recreation,Community Services,2026.05,3080,b7cce3cf20f1044578ccd98a9ee1205f21f683b5
SKATE GUARD,Recreation,Community Services,2022.32,3081,f26fe72972570291cf1786f6bda7dee4197f3dc5
FACILITY ATTENDANT,Recreation,Community Services,2019.88,3082,0357458f1b8bcb38cc916c8bc809a83f3d44abbd
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,1996.79,3083,6915b0f0c400dbb1d4ae27b3fb7d60446ad329cb
GENERAL INTEREST INSTRUCTOR,Recreation,Community Services,1991.25,3084,85fff9d51ed5196a148f29a709e055014369c380
LIFEGUARD,Recreation,Community Services,1981.55,3085,84faf3a9641861c3c4a9491de3a9bdec3f5d5e87
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1969.20,3086,69ea1a7677297651e5083f13f67e0adff88a2a71
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,1966.25,3087,f5bb913065367eded66dd35518c0d528ae0f2cdc
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,1954.32,3088,6ca8d1fb3dd34b23aa96fe7483666cdd8b834e2e
ALTERNATIVE PROGRAM LEADER,Recreation,Community Services,1952.04,3089,d13c28eb45ac8d3f333cc260dddf6505f2a893e3
ALTERNATIVE PROGRAM LEADER,Recreation,Community Services,1947.46,3090,3d9062119711ba42481405dec925a2d49d903e07
PERSONAL TRAINER - 1 HOUR,Recreation,Community Services,1940.00,3091,03709a7ea9ef53d40d7fb8a47f698968b389b236
"REP II, POLICE RECORDS",Police Information Services,Police Services,1938.62,3092,327ae29f3e405612a6025ea02650fc6445895463
"REP II, POLICE RECORDS",Police Information Services,Police Services,1938.62,3093,327ae29f3e405612a6025ea02650fc6445895463
"REP II, POLICE RECORDS",Police Information Services,Police Services,1938.62,3094,327ae29f3e405612a6025ea02650fc6445895463
PERSONAL TRAINER - 1 HOUR,Recreation,Community Services,1927.20,3095,3f99507396756efd777de41fc2872f19e2d210c4
MARKETING & PUBLICITY ASST,Cultural Services,Community Services,1922.70,3096,e085d7709574856e5db9f47d6e83295330ee550c
LIFEGUARD,Recreation,Community Services,1920.86,3097,7973c70a55aed4231016af0b51f9e69c07b3c3c3
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",1919.40,3098,290f1eb29b8b8da2bc4b5e57baa058d63e251bcc
LIFEGUARD,Recreation,Community Services,1916.68,3099,e4aa5201d03893770b32d6b6ec386d5981093a90
FIGURE AND FREESTYLE COACH,Recreation,Community Services,1913.45,3100,9556ad5cbf904af395e74f4cd32f10e6f6ac65dc
LIFEGUARD,Recreation,Community Services,1910.89,3101,11fbcbcb9f9fb366450b1c0a369cb0a0be537ade
LIBRARY ASSISTANT - HOURLY,Library District,Library District,1905.76,3102,4f5b8c8586fb9f7dcde91792bdea624bf0e55f3e
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,1903.00,3103,e5aea3bf5600089c466e96873262dcd1d851ac18
PROJECT ANALYST,Utilities Customer Connections,Utility Services,1892.60,3104,f1709e833a4e88d0b6b7082051c0a7aeb8278f68
"LOCATOR, ELEC DIST - FIELD OPS",Electric Field Services,Utility Services,1880.00,3105,465570ac59637651a489d03248a5ce4f81dca835
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,1879.00,3106,60ae48fee3e5b3c56639e286a7363a1aa3817d7f
EXHIBIT WORKER,Cultural Services,Community Services,1878.11,3107,8338c60b9cca31a6786ddb6dd54a129cceeabea5
SWIM INSTRUCTOR,Recreation,Community Services,1866.92,3108,4a7f5e28538c5a52f2cdb2d14b8741f3ccb7c093
UTILITY WORKER/ PARKS,Parks,Community Services,1865.50,3109,deb2a0862bc9d4c0fa54f26789da3ab8e5fe3572
CLERICAL AIDE,Cultural Services,Community Services,1848.00,3110,dfae0801caab352e9991025a0df873276897cbe1
CLERICAL AIDE,Recreation,Community Services,1844.63,3111,7bbe74b7f3abf71e2808861da351df43960c75ea
FACILITY ATTENDANT,Recreation,Community Services,1840.80,3112,8da472a19cf59fea0176c0da2009f1d6d99dda7d
CIRCULATION SPECIALIST,Library District,Library District,1837.43,3113,b85fea6a973b202b317fb48ee986b5698e6fa623
LIBRARIAN - HOURLY,Library District,Library District,1836.96,3114,f83f2f9326701661b103e93468704d7588c94458
FACILITY ATTENDANT,Recreation,Community Services,1834.70,3115,34b8193c30643e29c6bec4431b57e924f832cdb2
CLERICAL AIDE,Recreation,Community Services,1823.61,3116,1d986a3913828fd5d11b8d431a053c41c9fe7b2c
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,1820.70,3117,e1200da17a3b6773edc521c0adb22c0a8f4649f6
FACILITY ATTENDANT,Cultural Services,Community Services,1802.94,3118,fe649ce6e2f176630f005fced2f933e92aa6d3b2
AQUA-FITNESS INSTRUCTOR,Recreation,Community Services,1799.88,3119,ac04408443e72ba128a9cc963a796aa59cff793a
FIGURE AND FREESTYLE COACH,Recreation,Community Services,1799.50,3120,ff2e95aa78cf1814358ac5fef8a8f83f4a7b97a4
LIFEGUARD,Recreation,Community Services,1790.19,3121,6497b295cac28ca6d1e3b065745970b6fce09929
POTTERY INSTRUCTOR,Recreation,Community Services,1788.17,3122,78df58a35291f366fec730c803f2a40480db031f
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,1787.55,3123,c5f6f597a83c0f363bdd375ccbcbc1b28c7599ab
CLERICAL AIDE,Cultural Services,Community Services,1787.54,3124,fa0a898f6595787c3d7de24bd7877f5d0bd20d64
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1787.28,3125,4331ef3841cdb321ce6d26255fbcca1bf3447fb5
YOUTH INSTRUCTOR,Recreation,Community Services,1782.55,3126,326779c5e484c6a70db3e40722b88b4382782a33
LIFEGUARD,Recreation,Community Services,1780.82,3127,2ffc1891ffa7b369ebae656ae9f826803f4486da
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,1769.26,3128,7e0073c051444a9a76df50767ab3043bf679a3f9
CLERICAL AIDE,Recreation,Community Services,1755.45,3129,1743a90dfde4bb313bf566285ec186349f3fd575
LIFEGUARD,Recreation,Community Services,1734.79,3130,4e5e8a51c0d4b8817476d210b9f0ce9c85c944bf
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,1733.12,3131,1090b03de46c5f00161fb296e1229e19d76d234a
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,1732.54,3132,670d869e5a2d32a768f5109e517b3b3e8c59458f
LIFEGUARD,Recreation,Community Services,1731.86,3133,c72e18eabf6ba3d8651813aa57d59f9c5b1ed7fa
LIFEGUARD,Recreation,Community Services,1729.89,3134,c90d2c407968c3fd94e44a3382205e14f2448e3a
ALTERNATIVE PROGRAM LEADER,Recreation,Community Services,1728.68,3135,495934587b19fe3c1c45b4995246b98d9824da14
LIFEGUARD,Recreation,Community Services,1725.17,3136,689880524fd7050a4a17eee988c7235aa39f6c30
LIFEGUARD,Recreation,Community Services,1720.92,3137,712a3f8f7954baae5be4571de3e3dd37318b3805
ALTERNATIVE PROGRAM LEADER,Recreation,Community Services,1719.29,3138,721e92702ffadbb2240e15df3ef55437f6184f3a
LIFEGUARD,Recreation,Community Services,1718.60,3139,44838d49b63d9cf66030831f939de57a5f2456c4
CIRCULATION AIDE,Library District,Library District,1704.00,3140,c866af31cff8bad77e16a4a73d5a7c41aad4faa9
SWIM INSTRUCTOR,Recreation,Community Services,1700.30,3141,990676e69e785b205ad675eb6b15e35f8a1bac96
CLERICAL AIDE,Recreation,Community Services,1699.11,3142,41249fef302c3dfff4ad96bbac98dec330514c71
YOUTH SPORTS TRACK&FIELD COACH,Recreation,Community Services,1695.00,3143,01e53832d124c09aa7a7561ae71d493b9117ad8a
LIFEGUARD,Recreation,Community Services,1692.89,3144,22cec5b45f2cb5daadde8eb3b2062fe83902f774
MAINTENANCE HELPER,Operation Services,Information & Employee Svcs,1688.04,3145,b94b9b10dad95a4f1953dafb4c58a375a42d24c8
UTILITY WORKER/ PARKS,Parks,Community Services,1686.00,3146,147da2cf984e82e10d5c99d82c784d89f1ace666
YOUTH INSTRUCTOR,Recreation,Community Services,1684.79,3147,6c75cb82df9a6da811c827738fce514e764b2ced
INTERN,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",1680.00,3148,75c654652cd183c863cff658794a5e0adc9340d2
LIBRARY ASSISTANT - HOURLY,Library District,Library District,1669.98,3149,85071c52a46567c58cf47ae5d11be67ac6bc0173
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1668.75,3150,cbe8707fc348ba01375b2c5112fee129bdd96b93
AQUA-FITNESS INSTRUCTOR,Recreation,Community Services,1667.58,3151,5ba640370740b3829031af21dccbce6fbc0cb8b9
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,1661.94,3152,3b822150001d384fb4822ae3f84747a2db844ed0
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1659.55,3153,65fa47cedf6946bc2f6b8e7b1ec4e9fd4aca45ae
SPECIALIZED INSTRUCTOR,Recreation,Community Services,1657.59,3154,134b207a3b665e1b5a4fd0438b88c52e2f257d0f
LIFEGUARD,Recreation,Community Services,1657.19,3155,709da6d926c1a01f5728fae9eaa460400263ab32
FITNESS INSTRUCTOR - 2 HOUR,Recreation,Community Services,1656.00,3156,87839f04c464306d3f4f51a73b2790f6557fecfb
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,1655.15,3157,91ca881a72f287cce76ea390d47ae9a4912a6a68
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,1640.00,3158,ed0f28db8f88bb82fc99e92fa5a9c0b384d6b93c
DANCE INSTRUCTOR,Recreation,Community Services,1639.50,3159,757c6a57c1685223279547d3e8012a3e45cffb48
LIFEGUARD,Recreation,Community Services,1635.78,3160,6f911a64686f2d5c940b499b4f75c48e2fdfaa70
INTERN,Comm. & Public Involvement,Information & Employee Svcs,1635.00,3161,369daa1d3b78ddcd80761edf39e82bdf9451d4a2
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,1634.42,3162,d7160a9ba13aa9434d41639051ef021c1403a726
CLERICAL AIDE,Cultural Services,Community Services,1632.24,3163,830a5fca16da38af3fd2b9edbc4ca0577bab73a2
BUSINESS ANALYST,Economic Health Office,Sustainability Services,1630.23,3164,304727d3f4ae02fbb6fd13b2e421bb47a8193e01
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,1623.00,3165,0c0b68f590c1d19701f65238a81dc56feb08d40a
UTILITY WORKER/ PARKS,Parks,Community Services,1620.00,3166,b296bad13b9e754f1fd273d69e2d97ae96c8a595
LIFEGUARD,Recreation,Community Services,1619.11,3167,99f9b8031b7dec52e7b1af523fade8d7abbd507f
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,1617.00,3168,2151b31884b9181dd5cad9e3445fdf40286d256f
LIBRARY AIDE-COMP LAB MONITOR,Library District,Library District,1612.00,3169,2a022ff7c8037b8baaafa06bbca17f631525e956
LIFEGUARD,Recreation,Community Services,1582.85,3170,3f7482e7413ce2d9322d3a2e59d749376447b796
SWIM INSTRUCTOR,Recreation,Community Services,1581.46,3171,3661360cff401af47c2cc0ee16a091266810765e
SKATE GUARD,Recreation,Community Services,1577.96,3172,4e640dc076cd86433155bf3cb34f7d831b3af4e1
EQUIPMENT OPERATOR/ CEMETERY,Parks,Community Services,1575.12,3173,2d3ab23289eb85a2277925583cecc79940071189
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1570.50,3174,c665fdf99be029d3d3e3d116dfa6f5330d51f775
CLERICAL AIDE,Cultural Services,Community Services,1548.34,3175,8f5d0c97ba46a19597e2adbfcb87de35296a242a
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,1536.00,3176,d297f09e05d489401a6dff395c2b075adf976372
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1535.80,3177,0c83aaf3483701690bd66b853998a220bfa6575f
CLERICAL AIDE,Cultural Services,Community Services,1530.57,3178,d6d6c99d8d8a11a2901fc49976933261628e953a
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1530.00,3179,28b2d286c8219d4101227b7f182cd82bdc36347a
RECORDS TECHNICIAN,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",1527.68,3180,55c70f5e1bb41d67a332c964d05efd8028428034
LIBRARY ASSISTANT - HOURLY,Library District,Library District,1521.72,3181,e906b23ee492aae5e49ee232e7b4a9f8e8e326b7
LIBRARY ASSISTANT - HOURLY,Library District,Library District,1510.50,3182,2fa7b5cbb1abad9c9e154a14362d66fcb9f54de0
FACILITY ATTENDANT,Recreation,Community Services,1506.43,3183,7a0da3fa1bd3fe4bd706c45e2054e1597cecbc01
FACILITY ATTENDANT,Recreation,Community Services,1505.26,3184,ca8c369b60593750c885ae28736e5f351058df14
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,1501.50,3185,93643640ffe80cc33f94f894606c9e2c559d1281
FIGURE AND FREESTYLE COACH,Recreation,Community Services,1499.78,3186,8efb224bf165655a1d17ca03cd16d6328283167f
FACILITY ATTENDANT,Cultural Services,Community Services,1499.71,3187,fcb6737a485831609c41ff26f455f944b7d40070
FACILITY ATTENDANT,Cultural Services,Community Services,1494.39,3188,e7e7fdba71b2e6e3d300b3220868f30562c90ebc
DANCE INSTRUCTOR,Recreation,Community Services,1489.47,3189,42d867c1e3a162211477dcdf21164a7d6b308d16
LIFEGUARD,Recreation,Community Services,1487.21,3190,d18ad4bf8506c144ed0eba34da5deb6119f23b44
