Job Title,Department,Earnings,meta_row_index,meta_row_id
UTILITY WORKER/ PARKS,PARKS,8012.54,1916,fedfc3d215ed9a5d3656d729c48162d1a6d66b90
BUS FUELER,OPERATION SERVICES,7999.20,1917,33211d5222099b07c60ef3afd363988f97ff1c87
EQUIPMENT OPERATOR/ GOLF,PARKS,7996.50,1918,fda0bed1a0fa5b70ce7ea8636ccdce68cb920590
FACILITY ATTENDANT,RECREATION,7980.10,1919,3a1fc31e3d1670aac7644365a6f2daa0713ca0ed
EQUIPMENT OPERATOR/ PARKS,PARKS,7976.64,1920,ca51d957dd14464b73f4b82df088b8c98976895c
LIBRARY AIDE,LIBRARY DISTRICT,7974.13,1921,4d0939fd06458cef6b300628584940a70b47f319
LIBRARY AIDE,LIBRARY DISTRICT,7914.98,1922,5f5347cba3e48cc2f135fa1948583bda6a6b8dc9
CLERICAL AIDE,PARKS,7905.00,1923,c597b301593159f84499e938d72630b61fe13295
LIBRARY AIDE,LIBRARY DISTRICT,7902.38,1924,addd1d630543cda1e9307b34d0e4d051d4fd2878
TECHNICAL WRITER,UTILITY CUST. & EMP. RELATIONS,7860.00,1925,29ef339ae8e71f79b12945e770f49dfce50dddb7
SUBSTITUTE LIBRARIAN,LIBRARY DISTRICT,7846.09,1926,86f08e344bd5307ee26391106bf131d96e7a14ca
LIBRARY AIDE,LIBRARY DISTRICT,7839.30,1927,c9479d8048ea46c34e266fbb71304d4ef9095254
EQUIPMENT OPERATOR/ GOLF,PARKS,7794.00,1928,32530d84ed3cb4165a900edb80e3eb6a273b104b
TECHNICAL WRITER,UTILITY CUST. & EMP. RELATIONS,7760.00,1929,7068d5f2b4e6aa5fabd54fc83986c3a1bdb081f1
INTERN,UTILITY CUST. & EMP. RELATIONS,7738.50,1930,128a96834100e4768a0ec3f3f04027da21d9cdf8
LIBRARY AIDE,LIBRARY DISTRICT,7735.62,1931,377b1490aeda7c45c6cdc9cb2998aadfbfa58a74
POTTERY INSTRUCTOR,RECREATION,7718.50,1932,e093b33e7812cc2428e6a15fb13ff6d53e37b6af
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,7698.40,1933,bbf47ea4ae795be05f9f4db408a5e11732376f1b
SUBSTITUTE LIBRARY ASSISTANT,LIBRARY DISTRICT,7648.75,1934,cf85866281d1c45de6bc6ca8ab59fd4b2e55e3e2
CLERICAL AIDE,RECREATION,7601.20,1935,0ad4a44c7fe936a787bd1912411a147d5dfcceb2
FLAGGER,STREETS,7585.00,1936,ed7326e8f94bc1f57d7b40a7a7b11a7ce2a00b61
LIBRARY AIDE,LIBRARY DISTRICT,7582.39,1937,7cd7ca62aded8092ee1f5186e57c640b910d8510
PARKING ATTENDANT,PARKING,7559.76,1938,9ec6260d7929f6fec861881efb891c03bfcb616e
AQUATIC MANAGER,RECREATION,7524.14,1939,c252edcac5e052d65c2d3cad898b9694a21c4c83
UTILITY WORKER/ PARKS,PARKS,7510.84,1940,210b58b21142c6afae19204e95ee47a7e86697cf
LIBRARY AIDE,LIBRARY DISTRICT,7503.13,1941,3fe9b751afed1ccb83f139824b21f1d7d0816807
TRAFFIC CONTROL SUPERVISOR,STREETS,7456.00,1942,44685b1f3697614d09ac07bd9feff252bb2b8862
PARKING ATTENDANT,PARKING,7452.81,1943,a65353ae0a08db61ab0f81dc88cdee3760c8f8e8
CONSTRUCTION INSPECTOR,STREETS,7447.50,1944,8c94aab54e104f424149af04bed3df46c2c10247
ALTERNATIVE PROGRAM LEADER,RECREATION,7434.50,1945,bea29cd9dc8e5364ee8c52e7e3ae5980448321d4
LIFEGUARD,RECREATION,7434.38,1946,e138f91ce779f986359224d725732c8de0855fa2
LIFEGUARD,RECREATION,7401.62,1947,039074aececdd1c8defb207ff529694d5b135d5f
UTILITY WORKER/ PARKS,PARKS,7384.25,1948,d5c127f211cd98a7a8cd818d6be3a71259251c12
EQUIPMENT OPERATOR/ GOLF,PARKS,7371.00,1949,9de56e798ceb6a9a7fc385a26442e84a74ea7bb9
LIBRARY AIDE,LIBRARY DISTRICT,7327.94,1950,3f9c4fbbc4d7b83140333bfa422bbe3cc3a65fb0
LIBRARY AIDE,LIBRARY DISTRICT,7325.76,1951,0681e479756b36600a1158be98304496886a4d6b
LIFEGUARD/INSTRUCTOR,RECREATION,7315.02,1952,6c1fa9798929551b63e6cc39be2688633a8fdf2f
FLAGGER,STREETS,7301.10,1953,d815271e099df33eee65a10ea00c19ec3253314e
INTERN,TRANSFORT / DIAL-A-RIDE,7254.50,1954,0f1143589f49a9baec5631098801861b0ca6b060
LIBRARY AIDE,LIBRARY DISTRICT,7253.76,1955,42f3beff5dca5023db8b2a8ba0c64d13ee491cd6
AQUATIC MANAGER,RECREATION,7249.92,1956,ef2d4c50d6a5e91c39de63583dac32b7ce4a38eb
CLERICAL AIDE,RECREATION,7243.80,1957,ec7e4336085408390851fb6c92d6ea2a51f21899
VISITOR INFO ASST/CASHIER,NATURAL AREAS,7193.25,1958,741e0eb25e5eef8c4d95bf8d3a743ca58a97cd58
FIRE SUPPORT ASSISTANT,POUDRE FIRE AUTHORITY,7187.50,1959,c731e1bd24098501c2c73f082f63736befcad361
MAINTENANCE HELPER,NATURAL AREAS,7155.50,1960,a51f8617f63230d0533f8f42939a048545eb6408
FACILITY ATTENDANT,RECREATION,7153.60,1961,2a431e802ce9ec55a96ed1687be952a6bb07cfbe
LIBRARY AIDE,LIBRARY DISTRICT,7138.24,1962,51db98d8112ee4df5f1d24f4e3adcd363f6f2a94
DANCE INSTRUCTOR,RECREATION,7125.00,1963,088e21379be4b23938e75951a0b1bf9ff88a53ae
EQUIPMENT OPERATOR/ PARKS,PARKS,7097.40,1964,86c0ed16472a27543c5aa0879f09c91e174584c9
UTILITY WORKER/ PARKS,PARKS,7092.50,1965,11ad9565c0ae184c741f1e2132d5cf94a735b567
LIBRARY AIDE,LIBRARY DISTRICT,7091.27,1966,3fa20ddea7e74144b3ee374e4653a1327a9a980c
LINE GROUNDWORKER/HOURLY,ELECTRIC FIELD SERVICES,7080.00,1967,079febabbf0af98b575db4e4cbc1aaa967ae4f83
EQUIPMENT OPERATOR/ GOLF,PARKS,7063.50,1968,86dd18eb7655af84ceb1f9014bc3934548e0f500
LIBRARY AIDE,LIBRARY DISTRICT,7060.65,1969,f8e66b3e938550fb60504f20a177088c8213d3c2
